Participant_ID,Name,Email,College,State,Domain,Day,Feedback
226,Ishaan Gupta,ishaan534@gmail.com,IIT Madras,Maharashtra,Blockchain,Day 2,"Fantastic event, would participate again."
227,Aarav Patil,aarav969@outlook.com,VIT Vellore,Karnataka,Blockchain,Day 3,"It was fine, but not very engaging."
228,Vihaan Reddy,vihaan813@yahoo.com,NIT Karnataka,Kerala,Cybersecurity,Day 2,The event was too fast-paced and overwhelming.
229,Ishaan Gupta,ishaan544@gmail.com,BITS Pilani,Karnataka,Cybersecurity,Day 1,Loved the mentors and project guidance.
230,Neha Das,neha908@gmail.com,BITS Pilani,Telangana,IoT,Day 3,The event was too fast-paced and overwhelming.
231,Ananya Sharma,ananya834@outlook.com,VIT Vellore,Maharashtra,AI & ML,Day 1,"It was fine, but not very engaging."
232,Aarav Gupta,aarav556@yahoo.com,VIT Vellore,Tamil Nadu,Cybersecurity,Day 2,The event was too fast-paced and overwhelming.
233,Rahul Nair,rahul725@outlook.com,IIT Madras,Karnataka,Cybersecurity,Day 3,The sessions were not relevant to my interests.
234,Rahul Gupta,rahul691@gmail.com,Anna University,Telangana,Web Development,Day 3,The sessions were informative but could be more detailed.
235,Ishaan Gupta,ishaan727@gmail.com,VIT Vellore,Maharashtra,IoT,Day 1,Would love more hands-on sessions.
236,Priya Patil,priya995@yahoo.com,IIT Madras,Kerala,AI & ML,Day 3,Great experience! Learned a lot.
237,Ananya Joshi,ananya319@yahoo.com,VIT Vellore,Telangana,Web Development,Day 2,"The event was okay, could have been better."
238,Sanya Iyer,sanya275@outlook.com,NIT Karnataka,Tamil Nadu,IoT,Day 2,"It was fine, but not very engaging."
239,Rohan Singh,rohan765@outlook.com,BITS Pilani,Telangana,Cybersecurity,Day 3,Loved the mentors and project guidance.
240,Sanya Verma,sanya155@gmail.com,NIT Karnataka,Kerala,Web Development,Day 2,The event was too fast-paced and overwhelming.
241,Priya Iyer,priya935@gmail.com,Anna University,Maharashtra,Blockchain,Day 2,Loved the mentors and project guidance.
242,Vihaan Das,vihaan309@outlook.com,NIT Karnataka,Karnataka,AI & ML,Day 3,"The venue was not suitable for the event, very uncomfortable."
243,Sanya Iyer,sanya528@yahoo.com,Anna University,Karnataka,Cybersecurity,Day 2,Networking was amazing!
244,Ananya Singh,ananya409@gmail.com,VIT Vellore,Maharashtra,Web Development,Day 1,"Didn't enjoy the event at all, poorly organized."
245,Rohan Das,rohan435@gmail.com,IIT Madras,Telangana,Cybersecurity,Day 2,The sessions were not relevant to my interests.
246,Aarav Nair,aarav898@gmail.com,VIT Vellore,Kerala,AI & ML,Day 2,"The venue was not suitable for the event, very uncomfortable."
247,Ishaan Sharma,ishaan386@yahoo.com,Anna University,Karnataka,Blockchain,Day 2,"I didn't learn much, felt like a waste of time."
248,Rahul Verma,rahul351@gmail.com,BITS Pilani,Kerala,Web Development,Day 2,Loved the mentors and project guidance.
249,Priya Gupta,priya614@gmail.com,BITS Pilani,Tamil Nadu,IoT,Day 2,"Fantastic event, would participate again."
250,Ishaan Sharma,ishaan242@yahoo.com,NIT Karnataka,Tamil Nadu,AI & ML,Day 3,"Didn't enjoy the event at all, poorly organized."
251,Neha Verma,neha902@yahoo.com,NIT Karnataka,Kerala,IoT,Day 2,I expected more from the workshops.
252,Ishaan Gupta,ishaan449@gmail.com,NIT Karnataka,Kerala,AI & ML,Day 1,Loved the mentors and project guidance.
253,Aarav Nair,aarav988@gmail.com,VIT Vellore,Telangana,AI & ML,Day 2,Loved the mentors and project guidance.
254,Rohan Sharma,rohan925@outlook.com,NIT Karnataka,Maharashtra,IoT,Day 1,The event was too fast-paced and overwhelming.
255,Sanya Verma,sanya736@gmail.com,Anna University,Kerala,Web Development,Day 2,Loved the mentors and project guidance.
256,Ishaan Gupta,ishaan136@gmail.com,BITS Pilani,Maharashtra,AI & ML,Day 2,"It was fine, but not very engaging."
257,Ishaan Das,ishaan925@yahoo.com,Anna University,Tamil Nadu,IoT,Day 1,Loved the mentors and project guidance.
258,Rohan Sharma,rohan780@yahoo.com,IIT Madras,Telangana,Web Development,Day 3,"The venue was not suitable for the event, very uncomfortable."
259,Neha Patil,neha792@gmail.com,NIT Karnataka,Maharashtra,Web Development,Day 3,Loved the mentors and project guidance.
260,Vihaan Singh,vihaan113@gmail.com,Anna University,Kerala,Blockchain,Day 1,Networking was amazing!
261,Rohan Verma,rohan489@gmail.com,NIT Karnataka,Kerala,Cybersecurity,Day 3,"The venue was not suitable for the event, very uncomfortable."
262,Rahul Iyer,rahul551@gmail.com,Anna University,Tamil Nadu,AI & ML,Day 1,"Event was decent, but nothing extraordinary."
263,Sanya Joshi,sanya608@yahoo.com,IIT Madras,Maharashtra,Cybersecurity,Day 1,"It was fine, but not very engaging."
264,Vihaan Das,vihaan193@outlook.com,VIT Vellore,Tamil Nadu,IoT,Day 3,Would love more hands-on sessions.
265,Rahul Joshi,rahul638@yahoo.com,IIT Madras,Maharashtra,IoT,Day 2,Would love more hands-on sessions.
266,Rohan Verma,rohan581@yahoo.com,IIT Madras,Tamil Nadu,AI & ML,Day 3,Loved the mentors and project guidance.
267,Neha Gupta,neha772@yahoo.com,IIT Madras,Karnataka,AI & ML,Day 3,"The event was okay, could have been better."
268,Aarav Das,aarav831@gmail.com,NIT Karnataka,Telangana,AI & ML,Day 1,The sessions were informative but could be more detailed.
269,Aarav Iyer,aarav383@gmail.com,VIT Vellore,Kerala,Web Development,Day 2,"Didn't enjoy the event at all, poorly organized."
270,Ananya Verma,ananya564@gmail.com,Anna University,Kerala,IoT,Day 1,Great experience! Learned a lot.
271,Vihaan Das,vihaan234@outlook.com,VIT Vellore,Telangana,Web Development,Day 3,Would love more hands-on sessions.
272,Rahul Patil,rahul950@outlook.com,VIT Vellore,Maharashtra,Web Development,Day 1,The sessions were not relevant to my interests.
273,Rahul Singh,rahul120@yahoo.com,IIT Madras,Tamil Nadu,Web Development,Day 3,The sessions were informative but could be more detailed.
274,Vihaan Iyer,vihaan353@outlook.com,NIT Karnataka,Karnataka,Web Development,Day 1,The sessions were not relevant to my interests.
275,Priya Reddy,priya513@gmail.com,VIT Vellore,Tamil Nadu,IoT,Day 3,I expected more from the workshops.
276,Neha Reddy,neha208@gmail.com,IIT Madras,Tamil Nadu,IoT,Day 2,Would love more hands-on sessions.
277,Aarav Gupta,aarav825@outlook.com,IIT Madras,Tamil Nadu,Cybersecurity,Day 1,"Fantastic event, would participate again."
278,Neha Patil,neha622@yahoo.com,Anna University,Kerala,AI & ML,Day 3,Great experience! Learned a lot.
279,Ananya Reddy,ananya450@gmail.com,NIT Karnataka,Maharashtra,Blockchain,Day 3,"Event was decent, but nothing extraordinary."
280,Kiran Nair,kiran886@gmail.com,IIT Madras,Karnataka,Blockchain,Day 2,I expected more from the workshops.
281,Sanya Reddy,sanya943@gmail.com,NIT Karnataka,Tamil Nadu,Web Development,Day 3,Loved the mentors and project guidance.
282,Vihaan Singh,vihaan897@yahoo.com,VIT Vellore,Tamil Nadu,AI & ML,Day 2,"The venue was not suitable for the event, very uncomfortable."
283,Kiran Singh,kiran141@yahoo.com,IIT Madras,Tamil Nadu,Blockchain,Day 2,The sessions were informative but could be more detailed.
284,Ananya Nair,ananya995@outlook.com,BITS Pilani,Telangana,Web Development,Day 1,Great experience! Learned a lot.
285,Rohan Verma,rohan447@gmail.com,NIT Karnataka,Maharashtra,AI & ML,Day 1,"Event was decent, but nothing extraordinary."
286,Ananya Reddy,ananya394@gmail.com,BITS Pilani,Karnataka,Cybersecurity,Day 1,"The event was okay, could have been better."
287,Neha Patil,neha285@gmail.com,VIT Vellore,Karnataka,AI & ML,Day 3,"Didn't enjoy the event at all, poorly organized."
288,Ananya Verma,ananya153@outlook.com,IIT Madras,Maharashtra,Cybersecurity,Day 2,I expected more from the workshops.
289,Neha Reddy,neha551@yahoo.com,VIT Vellore,Telangana,AI & ML,Day 1,Would love more hands-on sessions.
290,Aarav Patil,aarav251@gmail.com,VIT Vellore,Kerala,Cybersecurity,Day 1,"I didn't learn much, felt like a waste of time."
291,Ananya Das,ananya378@yahoo.com,VIT Vellore,Kerala,Blockchain,Day 3,The sessions were not relevant to my interests.
292,Neha Verma,neha793@gmail.com,VIT Vellore,Karnataka,Web Development,Day 1,"The event was okay, could have been better."
293,Ananya Gupta,ananya389@outlook.com,NIT Karnataka,Maharashtra,Cybersecurity,Day 2,"Event was decent, but nothing extraordinary."
294,Priya Gupta,priya405@outlook.com,BITS Pilani,Karnataka,Blockchain,Day 3,The sessions were informative but could be more detailed.
295,Kiran Gupta,kiran733@yahoo.com,IIT Madras,Kerala,Blockchain,Day 3,"It was fine, but not very engaging."
296,Ishaan Gupta,ishaan768@gmail.com,VIT Vellore,Maharashtra,Blockchain,Day 3,I expected more from the workshops.
297,Sanya Patil,sanya605@gmail.com,NIT Karnataka,Telangana,Blockchain,Day 3,The event was too fast-paced and overwhelming.
298,Ishaan Iyer,ishaan755@outlook.com,BITS Pilani,Tamil Nadu,AI & ML,Day 2,"Fantastic event, would participate again."
299,Priya Gupta,priya801@outlook.com,VIT Vellore,Tamil Nadu,AI & ML,Day 3,"Fantastic event, would participate again."
300,Sanya Sharma,sanya257@gmail.com,BITS Pilani,Maharashtra,Blockchain,Day 2,Would love more hands-on sessions.
301,Rahul Nair,rahul815@gmail.com,Anna University,Kerala,Blockchain,Day 1,The sessions were informative but could be more detailed.
302,Aarav Sharma,aarav652@gmail.com,VIT Vellore,Maharashtra,AI & ML,Day 3,I expected more from the workshops.
303,Sanya Gupta,sanya616@yahoo.com,BITS Pilani,Maharashtra,AI & ML,Day 3,Networking was amazing!
304,Kiran Nair,kiran893@yahoo.com,IIT Madras,Karnataka,Cybersecurity,Day 3,"It was fine, but not very engaging."
305,Sanya Nair,sanya993@yahoo.com,NIT Karnataka,Tamil Nadu,Cybersecurity,Day 1,The sessions were informative but could be more detailed.
306,Aarav Patil,aarav777@yahoo.com,IIT Madras,Telangana,Cybersecurity,Day 2,The event was too fast-paced and overwhelming.
307,Kiran Singh,kiran613@gmail.com,VIT Vellore,Tamil Nadu,IoT,Day 3,I expected more from the workshops.
308,Aarav Reddy,aarav531@gmail.com,IIT Madras,Kerala,IoT,Day 3,"Didn't enjoy the event at all, poorly organized."
309,Vihaan Sharma,vihaan597@gmail.com,BITS Pilani,Karnataka,Cybersecurity,Day 2,The event was too fast-paced and overwhelming.
310,Kiran Verma,kiran326@yahoo.com,NIT Karnataka,Maharashtra,AI & ML,Day 3,"I didn't learn much, felt like a waste of time."
311,Rohan Verma,rohan379@gmail.com,BITS Pilani,Karnataka,IoT,Day 3,Networking was amazing!
312,Ananya Gupta,ananya375@outlook.com,IIT Madras,Karnataka,Web Development,Day 1,Loved the mentors and project guidance.
313,Ananya Iyer,ananya939@yahoo.com,NIT Karnataka,Tamil Nadu,IoT,Day 2,"Didn't enjoy the event at all, poorly organized."
314,Rohan Reddy,rohan120@gmail.com,NIT Karnataka,Tamil Nadu,Web Development,Day 2,"The event was okay, could have been better."
315,Vihaan Das,vihaan806@outlook.com,VIT Vellore,Tamil Nadu,AI & ML,Day 3,"Event was decent, but nothing extraordinary."
316,Vihaan Gupta,vihaan913@yahoo.com,NIT Karnataka,Maharashtra,AI & ML,Day 1,The sessions were informative but could be more detailed.
317,Neha Patil,neha416@yahoo.com,NIT Karnataka,Tamil Nadu,Blockchain,Day 1,"Event was decent, but nothing extraordinary."
318,Rahul Verma,rahul809@yahoo.com,IIT Madras,Kerala,AI & ML,Day 1,The sessions were informative but could be more detailed.
319,Rahul Gupta,rahul677@yahoo.com,VIT Vellore,Telangana,IoT,Day 2,"I didn't learn much, felt like a waste of time."
320,Sanya Singh,sanya819@outlook.com,VIT Vellore,Telangana,IoT,Day 1,Great experience! Learned a lot.
321,Sanya Joshi,sanya857@outlook.com,IIT Madras,Karnataka,Blockchain,Day 1,Would love more hands-on sessions.
322,Ishaan Gupta,ishaan492@gmail.com,IIT Madras,Maharashtra,IoT,Day 3,"Didn't enjoy the event at all, poorly organized."
323,Neha Joshi,neha135@outlook.com,NIT Karnataka,Karnataka,Blockchain,Day 1,"Didn't enjoy the event at all, poorly organized."
324,Aarav Verma,aarav906@yahoo.com,NIT Karnataka,Telangana,Blockchain,Day 3,"Fantastic event, would participate again."
325,Neha Singh,neha274@yahoo.com,IIT Madras,Karnataka,AI & ML,Day 1,I expected more from the workshops.
326,Rahul Nair,rahul230@yahoo.com,NIT Karnataka,Kerala,IoT,Day 1,"It was fine, but not very engaging."
327,Vihaan Sharma,vihaan629@outlook.com,BITS Pilani,Maharashtra,Blockchain,Day 1,The sessions were not relevant to my interests.
328,Neha Verma,neha254@outlook.com,NIT Karnataka,Maharashtra,IoT,Day 3,The event was too fast-paced and overwhelming.
329,Ananya Gupta,ananya356@outlook.com,IIT Madras,Maharashtra,AI & ML,Day 2,"Event was decent, but nothing extraordinary."
330,Rohan Iyer,rohan972@outlook.com,VIT Vellore,Telangana,IoT,Day 1,The sessions were informative but could be more detailed.
331,Sanya Iyer,sanya848@outlook.com,NIT Karnataka,Telangana,Blockchain,Day 1,Great experience! Learned a lot.
332,Neha Iyer,neha644@yahoo.com,BITS Pilani,Maharashtra,Blockchain,Day 2,"The venue was not suitable for the event, very uncomfortable."
333,Kiran Singh,kiran203@gmail.com,BITS Pilani,Telangana,IoT,Day 2,Loved the mentors and project guidance.
334,Priya Patil,priya562@outlook.com,BITS Pilani,Karnataka,Web Development,Day 1,"I didn't learn much, felt like a waste of time."
335,Ananya Singh,ananya993@yahoo.com,VIT Vellore,Kerala,Web Development,Day 1,"The venue was not suitable for the event, very uncomfortable."
336,Aarav Sharma,aarav592@yahoo.com,Anna University,Telangana,IoT,Day 1,"It was fine, but not very engaging."
337,Ishaan Singh,ishaan938@outlook.com,BITS Pilani,Telangana,Cybersecurity,Day 3,The event was too fast-paced and overwhelming.
338,Aarav Patil,aarav336@yahoo.com,VIT Vellore,Kerala,Blockchain,Day 2,"Event was decent, but nothing extraordinary."
339,Ishaan Nair,ishaan178@outlook.com,IIT Madras,Maharashtra,Web Development,Day 2,The sessions were informative but could be more detailed.
340,Kiran Nair,kiran233@outlook.com,VIT Vellore,Telangana,Cybersecurity,Day 2,"Fantastic event, would participate again."
341,Rohan Iyer,rohan850@gmail.com,IIT Madras,Tamil Nadu,AI & ML,Day 1,"The event was okay, could have been better."
342,Aarav Gupta,aarav813@yahoo.com,BITS Pilani,Tamil Nadu,Blockchain,Day 1,"The event was okay, could have been better."
343,Rohan Reddy,rohan568@yahoo.com,BITS Pilani,Telangana,Web Development,Day 2,I expected more from the workshops.
344,Ananya Nair,ananya860@yahoo.com,BITS Pilani,Maharashtra,Cybersecurity,Day 2,"Fantastic event, would participate again."
345,Vihaan Singh,vihaan937@outlook.com,Anna University,Maharashtra,Web Development,Day 2,"The venue was not suitable for the event, very uncomfortable."
346,Aarav Joshi,aarav366@outlook.com,NIT Karnataka,Tamil Nadu,IoT,Day 1,"Event was decent, but nothing extraordinary."
347,Vihaan Verma,vihaan639@gmail.com,IIT Madras,Maharashtra,AI & ML,Day 2,"Event was decent, but nothing extraordinary."
348,Sanya Joshi,sanya729@yahoo.com,IIT Madras,Tamil Nadu,Blockchain,Day 3,"Didn't enjoy the event at all, poorly organized."
349,Priya Joshi,priya540@outlook.com,BITS Pilani,Kerala,Blockchain,Day 2,The event was too fast-paced and overwhelming.
350,Sanya Iyer,sanya107@gmail.com,Anna University,Karnataka,Web Development,Day 2,The sessions were not relevant to my interests.
